student_id,student_email,student_account_status,student_role,course_id,course_code,course_status,program_name,enrollment_status,enrollment_type,course_fee,duration_value,duration_unit,instructor_count,days_since_enrollment,attendance_total_sessions,attendance_present_count,attendance_late_count,attendance_absent_count,attendance_excused_count,attendance_percentage,completed_class_sessions,scheduled_class_sessions,cancelled_class_sessions,online_session_count,physical_session_count,materials_total,pdf_material_count,video_material_count,external_url_material_count,exams_available,exams_attempted,exams_submitted,exams_graded,avg_exam_percentage,best_exam_percentage,lowest_exam_percentage,passed_exam_count,failed_exam_count,manual_pending_grade_count,flagged_answer_count,avg_question_score_percentage,payment_status,successful_payment_count,failed_payment_count,total_paid_amount,invoice_count,support_ticket_count,open_ticket_count,critical_ticket_count,academic_ticket_count,technical_ticket_count,finance_ticket_count,appointment_count,completed_appointment_count,cancelled_appointment_count,last_activity_days_ago,performance_category
450,student0450@student.hitech.lk,ACTIVE,STUDENT,3,SE-DB-130,ACTIVE,Cybersecurity,ACTIVE,OPEN,50000.0,4,MONTHS,1,83,14,10,0,4,0,71.43,26,8,2,32,2,9,3,4,2,4,2,2,2,76.91,79.64,74.18,2,0,0,0,79.21,SUCCESS,1,1,50000.0,1,0,0,0,0,0,0,0,0,0,4,Average
795,student0795@student.hitech.lk,ACTIVE,STUDENT,12,GD-UIUX-101,ACTIVE,Business Management,COMPLETED,ADMIN_ONLY,45000.0,8,WEEKS,1,191,12,7,2,3,0,66.67,12,2,0,6,8,14,4,5,5,3,3,3,3,96.9,99.56,92.09,3,0,0,0,97.8,SUCCESS,1,0,45000.0,1,0,0,0,0,0,0,0,0,0,6,Good
799,student0799@student.hitech.lk,ACTIVE,STUDENT,11,CC-AWS-101,ACTIVE,Cybersecurity,ACTIVE,ADMIN_ONLY,40000.0,12,WEEKS,1,105,4,1,2,1,0,50.0,4,14,0,4,14,7,2,3,2,4,3,3,3,67.32,76.96,53.36,3,0,0,1,65.53,SUCCESS,1,1,40000.0,1,0,0,0,0,0,0,1,1,0,17,Average
235,student0235@student.hitech.lk,ACTIVE,STUDENT,8,BM-MGMT-201,ACTIVE,Graphic Design,ACTIVE,ADMIN_ONLY,50000.0,3,WEEKS,2,79,7,6,0,1,0,85.71,7,6,0,10,3,13,7,5,1,1,1,1,1,93.2,93.2,93.2,1,0,0,3,96.41,SUCCESS,1,0,50000.0,2,0,0,0,0,0,0,0,0,0,3,Good
816,student0816@student.hitech.lk,ACTIVE,STUDENT,6,CY-SEC-110,ACTIVE,Information Technology,ACTIVE,OPEN,50000.0,16,WEEKS,1,34,5,3,0,2,0,60.0,20,9,0,15,14,17,4,8,5,5,3,3,3,58.8,64.0,54.42,3,0,0,0,53.22,SUCCESS,2,0,50000.0,1,1,1,0,0,0,1,3,2,1,19,Medium
36,student0036@student.hitech.lk,ACTIVE,STUDENT,4,DS-PY-101,ACTIVE,Business Management,ACTIVE,OPEN,50000.0,4,MONTHS,2,92,10,8,1,0,1,92.5,28,5,0,29,4,7,3,2,2,3,2,2,2,72.3,74.36,70.25,2,0,0,0,73.26,SUCCESS,1,0,50000.0,1,0,0,0,0,0,0,0,0,0,14,Average
741,student0741@student.hitech.lk,ACTIVE,STUDENT,3,SE-DB-130,ACTIVE,Cybersecurity,COMPLETED,OPEN,50000.0,4,MONTHS,1,170,21,19,1,1,0,92.86,26,8,2,32,2,9,3,4,2,4,4,4,4,86.34,97.57,74.91,4,0,0,0,88.1,SUCCESS,1,0,50000.0,2,0,0,0,0,0,0,0,0,0,1,Good
351,student0351@student.hitech.lk,ACTIVE,STUDENT,11,CC-AWS-101,ACTIVE,Cybersecurity,COMPLETED,ADMIN_ONLY,40000.0,12,WEEKS,1,142,4,3,0,1,0,75.0,4,14,0,4,14,7,2,3,2,4,4,4,3,93.29,100.0,87.62,3,0,1,0,96.51,SUCCESS,1,0,40000.0,1,0,0,0,0,0,0,0,0,0,7,Good
815,student0815@student.hitech.lk,ACTIVE,STUDENT,6,CY-SEC-110,ACTIVE,Information Technology,COMPLETED,OPEN,50000.0,16,WEEKS,1,126,20,9,2,9,0,50.0,20,9,0,15,14,17,4,8,5,5,2,2,2,39.74,49.99,29.49,0,2,0,3,36.42,SUCCESS,1,1,50000.0,1,2,1,0,1,1,0,1,1,0,29,Medium
805,student0805@student.hitech.lk,ACTIVE,STUDENT,10,IT-NET-100,ARCHIVED,Data Science,COMPLETED,OPEN,35000.0,8,WEEKS,1,210,26,15,1,9,1,62.5,26,8,0,16,18,14,5,7,2,1,1,1,1,60.0,60.0,60.0,1,0,0,2,61.34,SUCCESS,2,0,35000.0,1,0,0,0,0,0,0,0,0,0,8,Average
162,student0162@student.hitech.lk,ACTIVE,STUDENT,7,BM-COMM-110,ACTIVE,Cloud Computing,ACTIVE,OPEN,35000.0,3,WEEKS,1,58,9,7,1,1,0,83.33,13,3,3,7,9,11,3,5,3,1,1,1,1,57.08,57.08,57.08,1,0,0,0,58.94,SUCCESS,1,0,35000.0,1,0,0,0,0,0,0,1,1,0,18,Average
188,student0188@student.hitech.lk,ACTIVE,STUDENT,5,DS-ML-210,ACTIVE,Digital Marketing,ACTIVE,OPEN,45000.0,10,WEEKS,2,91,8,5,1,2,0,68.75,8,9,1,16,1,5,2,3,0,5,5,5,5,81.06,90.52,69.8,5,0,0,0,85.47,SUCCESS,1,0,45000.0,1,1,0,0,0,0,1,0,0,0,6,Good
366,student0366@student.hitech.lk,ACTIVE,STUDENT,11,CC-AWS-101,ACTIVE,Cybersecurity,COMPLETED,ADMIN_ONLY,40000.0,12,WEEKS,1,138,4,1,2,1,0,50.0,4,14,0,4,14,7,2,3,2,4,4,4,4,89.18,98.76,80.64,4,0,0,0,85.61,SUCCESS,1,1,40000.0,2,0,0,0,0,0,0,1,1,0,3,Good
8,student0008@student.hitech.lk,ACTIVE,STUDENT,4,DS-PY-101,ACTIVE,Business Management,ACTIVE,OPEN,50000.0,4,MONTHS,2,101,12,8,0,4,0,66.67,28,5,0,29,4,7,3,2,2,3,2,2,2,55.29,55.92,54.66,2,0,0,1,53.6,FAILED,0,2,0.0,1,4,0,1,1,1,2,1,1,0,14,Medium
772,student0772@student.hitech.lk,ACTIVE,STUDENT,9,DM-SEO-101,ARCHIVED,Software Engineering,ACTIVE,OPEN,30000.0,12,WEEKS,2,67,9,5,2,2,0,66.67,13,2,0,5,10,13,4,6,3,5,4,4,4,63.58,67.08,62.05,4,0,0,0,60.0,SUCCESS,2,0,30000.0,1,0,0,0,0,0,0,4,2,2,15,Average
332,student0332@student.hitech.lk,ACTIVE,STUDENT,9,DM-SEO-101,ARCHIVED,Software Engineering,COMPLETED,OPEN,30000.0,12,WEEKS,2,111,13,12,1,0,0,96.15,13,2,0,5,10,13,4,6,3,5,5,5,5,77.39,82.69,71.11,5,0,0,0,79.12,SUCCESS,1,0,30000.0,1,0,0,0,0,0,0,0,0,0,5,Good
208,student0208@student.hitech.lk,PENDING_VERIFICATION,STUDENT,10,IT-NET-100,ARCHIVED,Data Science,ACTIVE,OPEN,35000.0,8,WEEKS,1,57,6,3,2,1,0,66.67,26,8,0,16,18,14,5,7,2,1,1,1,1,96.69,96.69,96.69,1,0,0,0,99.63,SUCCESS,1,0,35000.0,1,0,0,0,0,0,0,0,0,0,14,Good
774,student0774@student.hitech.lk,ACTIVE,STUDENT,1,SE-JAVA-101,ACTIVE,Software Engineering,ACTIVE,OPEN,40000.0,3,WEEKS,2,97,14,5,1,7,1,44.64,15,10,1,14,11,12,4,7,1,4,1,1,1,46.52,46.52,46.52,0,1,0,1,46.09,PENDING,0,0,0.0,1,1,1,1,1,0,0,1,0,1,74,Low
576,student0576@student.hitech.lk,ACTIVE,STUDENT,11,CC-AWS-101,ACTIVE,Cybersecurity,ACTIVE,ADMIN_ONLY,40000.0,12,WEEKS,1,98,4,2,0,2,0,50.0,4,14,0,4,14,7,2,3,2,4,3,3,3,85.83,89.48,81.62,3,0,0,0,85.12,SUCCESS,1,0,40000.0,1,0,0,0,0,0,0,0,0,0,1,Good
415,student0415@student.hitech.lk,ACTIVE,STUDENT,11,CC-AWS-101,ACTIVE,Cybersecurity,COMPLETED,ADMIN_ONLY,40000.0,12,WEEKS,1,108,4,2,1,1,0,62.5,4,14,0,4,14,7,2,3,2,4,3,3,3,63.66,67.7,55.98,3,0,0,0,63.2,SUCCESS,2,0,40000.0,1,0,0,0,0,0,0,2,2,0,4,Average
683,student0683@student.hitech.lk,ACTIVE,STUDENT,10,IT-NET-100,ARCHIVED,Data Science,ACTIVE,OPEN,35000.0,8,WEEKS,1,52,8,6,0,2,0,75.0,26,8,0,16,18,14,5,7,2,1,1,1,1,64.59,64.59,64.59,1,0,0,0,68.25,PENDING,0,1,0.0,1,3,0,0,1,1,1,1,1,0,4,Average
566,student0566@student.hitech.lk,ACTIVE,STUDENT,7,BM-COMM-110,ACTIVE,Cloud Computing,ACTIVE,OPEN,35000.0,3,WEEKS,1,102,13,9,1,3,0,73.08,13,3,3,7,9,11,3,5,3,1,1,1,1,70.51,70.51,70.51,1,0,0,1,60.72,SUCCESS,1,0,35000.0,1,0,0,0,0,0,0,0,0,0,7,Average
508,student0508@student.hitech.lk,ACTIVE,STUDENT,4,DS-PY-101,ACTIVE,Business Management,ACTIVE,OPEN,50000.0,4,MONTHS,2,62,7,0,4,1,2,50.0,28,5,0,29,4,7,3,2,2,3,1,1,1,21.08,21.08,21.08,0,1,0,1,21.48,FAILED,0,3,0.0,0,0,0,0,0,0,0,0,0,0,49,Low
23,student0023@student.hitech.lk,ACTIVE,STUDENT,12,GD-UIUX-101,ACTIVE,Business Management,COMPLETED,ADMIN_ONLY,45000.0,8,WEEKS,1,101,12,8,0,3,1,72.92,12,2,0,6,8,14,4,5,5,3,3,3,3,64.16,72.16,60.13,3,0,0,0,63.17,SUCCESS,2,0,45000.0,2,1,0,0,0,1,0,2,1,1,12,Average
839,student0839@student.hitech.lk,ACTIVE,STUDENT,1,SE-JAVA-101,ACTIVE,Software Engineering,ACTIVE,OPEN,40000.0,3,WEEKS,2,104,14,6,0,6,2,53.57,15,10,1,14,11,12,4,7,1,4,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,SUCCESS,1,0,40000.0,1,2,1,0,1,1,0,0,0,0,47,Low
384,student0384@student.hitech.lk,ACTIVE,STUDENT,3,SE-DB-130,ACTIVE,Cybersecurity,COMPLETED,OPEN,50000.0,4,MONTHS,1,237,26,24,0,2,0,92.31,26,8,2,32,2,9,3,4,2,4,4,3,3,72.6,88.96,62.63,3,0,0,1,73.42,SUCCESS,1,0,50000.0,1,0,0,0,0,0,0,0,0,0,6,Good
309,student0309@student.hitech.lk,ACTIVE,STUDENT,7,BM-COMM-110,ACTIVE,Cloud Computing,ACTIVE,OPEN,35000.0,3,WEEKS,1,91,10,5,1,3,1,62.5,13,3,3,7,9,11,3,5,3,1,1,1,1,54.04,54.04,54.04,1,0,0,0,59.44,PENDING,0,1,0.0,1,0,0,0,0,0,0,3,2,1,11,Average
551,student0551@student.hitech.lk,ACTIVE,STUDENT,3,SE-DB-130,ACTIVE,Cybersecurity,ACTIVE,OPEN,50000.0,4,MONTHS,1,52,9,2,1,6,0,27.78,26,8,2,32,2,9,3,4,2,4,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,SUCCESS,1,0,50000.0,1,2,0,0,1,1,0,0,0,0,41,Low
47,student0047@student.hitech.lk,ACTIVE,STUDENT,5,DS-ML-210,ACTIVE,Digital Marketing,ACTIVE,OPEN,45000.0,10,WEEKS,2,79,8,5,1,1,1,78.12,8,9,1,16,1,5,2,3,0,5,2,2,2,49.41,58.68,40.15,1,1,0,1,48.72,SUCCESS,1,1,45000.0,2,0,0,0,0,0,0,0,0,0,13,Medium
304,student0304@student.hitech.lk,ACTIVE,STUDENT,6,CY-SEC-110,ACTIVE,Information Technology,ACTIVE,OPEN,50000.0,16,WEEKS,1,128,18,8,0,10,0,44.44,20,9,0,15,14,17,4,8,5,5,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,PENDING,0,0,0.0,1,1,1,0,0,0,1,0,0,0,47,Low
436,student0436@student.hitech.lk,PENDING_VERIFICATION,STUDENT,2,SE-WEB-120,DRAFT,Data Science,ACTIVE,ADMIN_ONLY,25000.0,16,WEEKS,3,115,0,0,0,0,0,0.0,28,10,0,16,22,9,5,4,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,FAILED,0,2,0.0,0,0,0,0,0,0,0,1,0,1,44,Medium
86,student0086@student.hitech.lk,ACTIVE,STUDENT,7,BM-COMM-110,ACTIVE,Cloud Computing,COMPLETED,OPEN,35000.0,3,WEEKS,1,125,13,9,0,3,1,75.0,13,3,3,7,9,11,3,5,3,1,1,1,0,0.0,0.0,0.0,0,0,1,0,0.0,SUCCESS,1,0,35000.0,1,0,0,0,0,0,0,2,1,1,4,Good
485,student0485@student.hitech.lk,ACTIVE,STUDENT,1,SE-JAVA-101,ACTIVE,Software Engineering,COMPLETED,OPEN,40000.0,3,WEEKS,2,78,12,12,0,0,0,100.0,15,10,1,14,11,12,4,7,1,4,4,4,4,87.54,95.52,81.95,4,0,0,0,94.71,SUCCESS,1,0,40000.0,1,0,0,0,0,0,0,1,1,0,3,Good
525,student0525@student.hitech.lk,ACTIVE,STUDENT,10,IT-NET-100,ARCHIVED,Data Science,COMPLETED,OPEN,35000.0,8,WEEKS,1,158,21,19,0,2,0,90.48,26,8,0,16,18,14,5,7,2,1,1,1,1,85.45,85.45,85.45,1,0,0,0,85.17,SUCCESS,1,0,35000.0,1,0,0,0,0,0,0,0,0,0,0,Good
313,student0313@student.hitech.lk,ACTIVE,STUDENT,11,CC-AWS-101,ACTIVE,Cybersecurity,ACTIVE,ADMIN_ONLY,40000.0,12,WEEKS,1,86,4,4,0,0,0,100.0,4,14,0,4,14,7,2,3,2,4,3,3,3,70.58,79.84,63.23,3,0,0,1,64.65,SUCCESS,1,0,40000.0,1,0,0,0,0,0,0,2,1,1,5,Average
227,student0227@student.hitech.lk,ACTIVE,STUDENT,2,SE-WEB-120,DRAFT,Data Science,COMPLETED,ADMIN_ONLY,25000.0,16,WEEKS,3,192,2,2,0,0,0,100.0,28,10,0,16,22,9,5,4,0,1,1,1,1,89.47,89.47,89.47,1,0,0,0,91.18,SUCCESS,1,0,25000.0,1,1,0,0,1,0,0,0,0,0,2,Good
400,student0400@student.hitech.lk,ACTIVE,STUDENT,4,DS-PY-101,ACTIVE,Business Management,ACTIVE,OPEN,50000.0,4,MONTHS,2,98,15,9,2,3,1,71.67,28,5,0,29,4,7,3,2,2,3,2,2,2,63.66,65.39,61.92,2,0,0,0,61.14,SUCCESS,1,0,50000.0,1,0,0,0,0,0,0,1,1,0,4,Average
605,student0605@student.hitech.lk,ACTIVE,STUDENT,9,DM-SEO-101,ARCHIVED,Software Engineering,REMOVED,OPEN,30000.0,12,WEEKS,2,66,7,3,1,3,0,50.0,13,2,0,5,10,13,4,6,3,5,3,3,3,56.14,56.71,55.41,3,0,0,0,63.98,PENDING,0,1,0.0,1,1,0,0,0,1,0,1,0,1,4,Average
334,student0334@student.hitech.lk,ACTIVE,STUDENT,1,SE-JAVA-101,ACTIVE,Software Engineering,REMOVED,OPEN,40000.0,3,WEEKS,2,22,2,0,2,0,0,50.0,15,10,1,14,11,12,4,7,1,4,3,3,3,54.67,56.25,53.02,3,0,0,1,55.77,PENDING,0,0,0.0,1,1,0,0,0,1,0,1,1,0,5,Average
165,student0165@student.hitech.lk,ACTIVE,STUDENT,11,CC-AWS-101,ACTIVE,Cybersecurity,ACTIVE,ADMIN_ONLY,40000.0,12,WEEKS,1,34,4,0,2,2,0,25.0,4,14,0,4,14,7,2,3,2,4,2,1,1,61.4,61.4,61.4,1,0,0,2,61.36,SUCCESS,1,0,40000.0,1,3,2,1,3,0,0,2,2,0,26,Medium
65,student0065@student.hitech.lk,ACTIVE,STUDENT,11,CC-AWS-101,ACTIVE,Cybersecurity,COMPLETED,ADMIN_ONLY,40000.0,12,WEEKS,1,222,4,3,0,1,0,75.0,4,14,0,4,14,7,2,3,2,4,3,2,2,65.65,66.57,64.72,2,0,0,0,56.64,PENDING,0,1,0.0,1,0,0,0,0,0,0,0,0,0,9,Average
619,student0619@student.hitech.lk,ACTIVE,STUDENT,6,CY-SEC-110,ACTIVE,Information Technology,ACTIVE,OPEN,50000.0,16,WEEKS,1,97,15,14,0,1,0,93.33,20,9,0,15,14,17,4,8,5,5,4,4,3,94.04,100.0,90.97,3,0,1,1,96.19,SUCCESS,1,1,50000.0,2,0,0,0,0,0,0,1,1,0,0,Good
341,student0341@student.hitech.lk,ACTIVE,STUDENT,3,SE-DB-130,ACTIVE,Cybersecurity,ACTIVE,OPEN,50000.0,4,MONTHS,1,93,13,0,7,6,0,26.92,26,8,2,32,2,9,3,4,2,4,1,1,1,39.82,39.82,39.82,0,1,0,3,43.4,PENDING,0,1,0.0,1,1,1,0,0,1,0,0,0,0,57,Low
400,student0400@student.hitech.lk,ACTIVE,STUDENT,7,BM-COMM-110,ACTIVE,Cloud Computing,ACTIVE,OPEN,35000.0,3,WEEKS,1,68,12,6,1,4,1,60.42,13,3,3,7,9,11,3,5,3,1,1,1,1,46.11,46.11,46.11,0,1,0,1,38.81,PENDING,0,0,0.0,1,1,0,0,0,0,1,0,0,0,30,Medium
678,student0678@student.hitech.lk,ACTIVE,STUDENT,12,GD-UIUX-101,ACTIVE,Business Management,COMPLETED,ADMIN_ONLY,45000.0,8,WEEKS,1,79,12,11,1,0,0,95.83,12,2,0,6,8,14,4,5,5,3,3,3,3,88.46,96.56,81.47,3,0,0,0,91.75,SUCCESS,1,0,45000.0,1,0,0,0,0,0,0,1,0,1,1,Good
649,student0649@student.hitech.lk,ACTIVE,STUDENT,8,BM-MGMT-201,ACTIVE,Graphic Design,ACTIVE,ADMIN_ONLY,50000.0,3,WEEKS,2,125,7,1,1,5,0,21.43,7,6,0,10,3,13,7,5,1,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,FAILED,0,1,0.0,1,2,0,1,1,1,0,0,0,0,61,Low
428,student0428@student.hitech.lk,PENDING_VERIFICATION,STUDENT,11,CC-AWS-101,ACTIVE,Cybersecurity,ACTIVE,ADMIN_ONLY,40000.0,12,WEEKS,1,31,3,0,2,0,1,58.33,4,14,0,4,14,7,2,3,2,4,3,3,3,67.55,74.4,62.51,3,0,0,1,63.49,PENDING,0,0,0.0,1,1,0,0,0,0,1,0,0,0,15,Average
228,student0228@student.hitech.lk,ACTIVE,STUDENT,11,CC-AWS-101,ACTIVE,Cybersecurity,ACTIVE,ADMIN_ONLY,40000.0,12,WEEKS,1,208,4,1,1,1,1,56.25,4,14,0,4,14,7,2,3,2,4,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,SUCCESS,2,1,40000.0,1,1,0,1,0,0,1,2,0,2,29,Low
537,student0537@student.hitech.lk,ACTIVE,STUDENT,6,CY-SEC-110,ACTIVE,Information Technology,ACTIVE,OPEN,50000.0,16,WEEKS,1,36,4,2,1,1,0,62.5,20,9,0,15,14,17,4,8,5,5,4,4,4,94.77,100.0,89.35,4,0,0,0,94.27,SUCCESS,1,0,50000.0,1,1,0,0,0,1,0,1,0,1,5,Good
346,student0346@student.hitech.lk,ACTIVE,STUDENT,10,IT-NET-100,ARCHIVED,Data Science,ACTIVE,OPEN,35000.0,8,WEEKS,1,70,7,5,2,0,0,85.71,26,8,0,16,18,14,5,7,2,1,1,1,1,81.71,81.71,81.71,1,0,0,0,91.04,SUCCESS,1,0,35000.0,1,0,0,0,0,0,0,2,2,0,13,Average
284,student0284@student.hitech.lk,ACTIVE,STUDENT,9,DM-SEO-101,ARCHIVED,Software Engineering,ACTIVE,OPEN,30000.0,12,WEEKS,2,170,13,5,2,6,0,46.15,13,2,0,5,10,13,4,6,3,5,3,3,3,50.4,53.89,47.58,1,2,0,3,41.7,FAILED,0,2,0.0,1,2,1,0,2,0,0,2,1,1,26,Medium
525,student0525@student.hitech.lk,ACTIVE,STUDENT,11,CC-AWS-101,ACTIVE,Cybersecurity,COMPLETED,ADMIN_ONLY,40000.0,12,WEEKS,1,184,4,0,3,1,0,37.5,4,14,0,4,14,7,2,3,2,4,4,4,4,88.91,100.0,74.2,4,0,0,0,88.46,SUCCESS,1,1,40000.0,1,1,0,0,0,0,1,1,0,1,1,Good
454,student0454@student.hitech.lk,ACTIVE,STUDENT,2,SE-WEB-120,DRAFT,Data Science,ACTIVE,ADMIN_ONLY,25000.0,16,WEEKS,3,113,2,0,2,0,0,50.0,28,10,0,16,22,9,5,4,0,1,1,1,0,0.0,0.0,0.0,0,0,1,0,0.0,PENDING,0,0,0.0,1,0,0,0,0,0,0,1,1,0,6,Good
697,student0697@student.hitech.lk,ACTIVE,STUDENT,9,DM-SEO-101,ARCHIVED,Software Engineering,REMOVED,OPEN,30000.0,12,WEEKS,2,75,9,7,0,2,0,77.78,13,2,0,5,10,13,4,6,3,5,4,4,4,64.24,70.38,58.53,4,0,0,0,65.35,PENDING,0,0,0.0,1,2,0,0,0,2,0,1,1,0,10,Average
633,student0633@student.hitech.lk,ACTIVE,STUDENT,11,CC-AWS-101,ACTIVE,Cybersecurity,COMPLETED,ADMIN_ONLY,40000.0,12,WEEKS,1,137,4,3,1,0,0,87.5,4,14,0,4,14,7,2,3,2,4,4,3,3,86.25,95.8,81.14,3,0,0,1,85.75,SUCCESS,1,0,40000.0,2,0,0,0,0,0,0,0,0,0,5,Good
155,student0155@student.hitech.lk,ACTIVE,STUDENT,7,BM-COMM-110,ACTIVE,Cloud Computing,COMPLETED,OPEN,35000.0,3,WEEKS,1,135,13,10,0,2,1,82.69,13,3,3,7,9,11,3,5,3,1,1,1,1,67.3,67.3,67.3,1,0,0,0,60.89,SUCCESS,1,0,35000.0,1,0,0,0,0,0,0,0,0,0,4,Average
527,student0527@student.hitech.lk,ACTIVE,STUDENT,4,DS-PY-101,ACTIVE,Business Management,REMOVED,OPEN,50000.0,4,MONTHS,2,19,2,0,1,1,0,25.0,28,5,0,29,4,7,3,2,2,3,1,1,1,33.59,33.59,33.59,0,1,0,4,40.02,SUCCESS,1,0,50000.0,1,2,0,0,1,0,1,1,1,0,87,Low
710,student0710@student.hitech.lk,ACTIVE,STUDENT,12,GD-UIUX-101,ACTIVE,Business Management,COMPLETED,ADMIN_ONLY,45000.0,8,WEEKS,1,198,12,10,0,0,2,95.83,12,2,0,6,8,14,4,5,5,3,3,3,3,75.71,87.53,69.54,3,0,0,0,71.22,SUCCESS,2,0,45000.0,1,0,0,0,0,0,0,2,2,0,3,Good
34,student0034@student.hitech.lk,ACTIVE,STUDENT,5,DS-ML-210,ACTIVE,Digital Marketing,ACTIVE,OPEN,45000.0,10,WEEKS,2,102,8,6,1,1,0,81.25,8,9,1,16,1,5,2,3,0,5,4,4,4,84.39,87.86,81.86,4,0,0,0,83.35,SUCCESS,3,0,45000.0,1,1,1,0,0,0,1,0,0,0,2,Good
